Protein,Delta,DeltaSquared
Plate1_N21_MEF2A_Aviva,0.064932071,0.045453386
Plate1_N22_THBS1_LSBio,-0.165509381,0.180108764
Plate1_N23_NOTCH1_Aviva,0.034568599,0.089128683
Plate1_N24_THBS1_LSBio,-0.305384417,0.338257012
Plate1_N3_MTA2_Aviva,0.028693752,0.03366715
Plate1_N6_S100A9_Aviva,0.086850725,0.095245412
Plate1_N7_MCM2_Aviva,0.107001043,0.06010972
Plate1_N8_BCL3_LSBio,0.030479854,0.046886705
Plate1_N9_WT1_Aviva,0.061850157,0.061577537
Plate1_O1_VWF_Abnova,0.005301953,0.039877846
Plate1_O11_MAPKAPK3_Abnova,0.045287805,0.062567595
Plate1_O12_CNN2_Aviva,0.077484583,0.027300085
Plate1_O15_FZD3_Abnova,0.02020294,0.030931046
Plate1_O16_CTTN_Aviva,0.01144843,0.014319307
Plate1_O17_EIF3A_Abnova,-0.053625708,0.046447042
Plate1_O18_FSTL1_Aviva,0.110378952,0.039554882
Plate1_O19_SNX3_Abnova,0.044149656,0.04041353
Plate1_O21_CRADD_Abnova,0.00399821,0.314373275
Plate1_O23_TNFSF9_Abnova,0.01555833,0.030519883
Plate1_O24_LRG1_Aviva,0.125561324,0.057271864
Plate1_O3_ZIC3_Abnova,-0.027676499,0.127854013
Plate1_O4_CSNK1A1_Aviva,0.027089818,0.048240827
Plate1_O5_PXDN_Abnova,-0.091998725,0.061202548
Plate1_O6_CPN1_Aviva,0.00797047,0.033500125
Plate1_O7_FZD5_Abnova,-0.013895228,0.056647464
Plate1_O9_MAPKAPK3_Abnova,0.020584284,0.117330433
Plate1_P1_METTL3_Aviva,0.028905965,0.043937496
Plate1_P10_DGCR6_ProSci,0.055233095,0.076464972
Plate1_P11_KHDRBS3_Aviva,0.099425544,0.03984004
Plate1_P12_NDUFA10_ProSci,0.060844762,0.153050667
Plate1_P13_EIF4H_Aviva,0.018623714,0.053104605
Plate1_P14_Empty well_Empty,-0.067461792,0.058772845
Plate1_P15_WNT10B_Aviva,0.006825371,0.024350188
Plate1_P16_ERBB2_R&D,-0.012897495,0.044862396
Plate1_P17_FZD6_Aviva,-0.020111741,0.015916514
Plate1_P18_THBS4_R&D,0.065613047,0.063050764
Plate1_P19_FZD7_Aviva,-0.01374913,0.027583714
Plate1_P2_AZGP1_MyBio,-0.087456576,0.035856742
Plate1_P20_TLR2_R&D,-0.010128643,0.060970104
Plate1_P21_FZD10_Aviva,0.031574672,0.051488704
Plate1_P22_PRDX6_R&D,0.017440326,0.0793296
Plate1_P23_FZD4_Aviva,0.049662029,0.039450669
Plate1_P24_SPRED1_R&D,0.031126627,0.167791864
Plate1_P3_RXRB_Aviva,0.010748166,0.090022095
Plate1_P4_COMP_MyBio,-0.023021478,0.011913112
Plate1_P5_NFATC1_Aviva,0.007597316,0.028872249
Plate1_P6_COMP_MyBio,-0.031275875,0.071470397
Plate1_P7_ACTB_Aviva,-0.007742523,0.015358654
Plate1_P8_UBC_Novus,-0.078643302,0.076136923
Plate1_P9_RARA_Aviva,0.03090459,0.036083224
Plate10_A1_DCD_Santa,0.03435755,0.053806614
Plate10_A12_SFPQ_Abnova,-0.020910953,0.066281318
Plate10_A13_SIN3A_Santa,-0.100190058,0.053878619
Plate10_A14_SFRS3_Abcam,-0.154273871,0.092070095
Plate10_A15_SIN3A_Abcam,-0.080214614,0.084566838
Plate10_A16_UBXN1_Sigma,0.008120734,0.13903206
Plate10_A17_PTPRM_Santa,0.034607747,0.086423159
Plate10_A18_SSB_Sigma,-0.111575044,0.142377283
Plate10_A19_PTPRM_Santa,-0.01861424,0.123320731
Plate10_A2_ILK_R&D,-0.031841205,0.128240069
Plate10_A20_EIF5A_PTG,-0.024463375,0.073175468
Plate10_A21_GPANK1 (BAT4)_Santa,0.057118416,0.078517357
Plate10_A24_SLIRP_Abcam,0.081197774,0.094113974
Plate10_A4_G3BP1_Abnova,-0.052317293,0.057077189
Plate10_A5_DCD_Santa,0.010971369,0.1107342
Plate10_A6_HIST1H1D_Abcam,-0.067886883,0.156630285
Plate10_A7_DCD_Santa,0.004258203,0.105398436
Plate10_A8_CSRP1_Abcam,-0.031596626,0.105280037
Plate10_A9_DCD_Santa,0.039519092,0.08820746
Plate10_B10_TP73_Santa,0.00117507,0.126256855
Plate10_B11_TLR2_Abcam,0.16614923,0.149285001
Plate10_B12_Cdkn2a_Santa,0.009855441,0.081149436
Plate10_B13_GPANK1(BAT4)_Abnova,0.044862849,0.061481249
Plate10_B14_Cdkn2a_Santa,0.083359866,0.018331654
Plate10_B15_GPANK1(BAT4)_Abcam,-0.03711445,0.112343835
Plate10_B16_NRN1_Santa,-0.054452192,0.039461114
Plate10_B17_PRG2_Abcam,-0.082062887,0.183488971
Plate10_B18_RUNX3_Santa,-0.112063458,0.088873125
Plate10_B19_PRG2_Abnova,0.014431751,0.075191683
Plate10_B2_ZYX_ABnova,-0.109302338,0.131000132
Plate10_B20_CLDN18_Santa,0.022143458,0.017518756
Plate10_B23_PPP2CA_CSignal,-0.010838822,0.040322672
Plate10_B24_MKI67_ABcam,-0.01760075,0.046243523
Plate10_B3_TSG101_Santa,0.059222756,0.046397112
Plate10_B4_PDIA3_Santa,-0.050530555,0.022919732
Plate10_B5_SKP2_Santa,-0.032528418,0.166941571
Plate10_B8_TP63_Santa,0.006225702,0.060562644
Plate10_C1_USF1_Santa,-0.033114482,0.059433714
Plate10_C10_CAPN3 (NCL1)_Sigma,-0.002101514,0.02774226
Plate10_C11_Hif3a_Santa,-0.041621913,0.057696967
Plate10_C12_CD59_Abcam,0.013786143,0.222562146
Plate10_C13_HIF3A_Santa,-0.132469435,0.123401803
Plate10_C14_SRSF1 (SF2)_Abcam,-0.069222357,0.036531209
Plate10_C15_HIF1A_Santa,-0.118447962,0.1109781
Plate10_C16_TPI1_Abcam,0.0102363,0.195280104
Plate10_C17_HIF1A_Santa,0.011628423,0.016073352
Plate10_C18_RALY_Abcam,-0.012004677,0.019254566
Plate10_C19_HIF1A_Santa,0.024467432,0.055971733
Plate10_C2_CD44_Abcam,0.010816431,0.025996969
Plate10_C20_HSPB1_PTG,-0.000296063,0.023971558
Plate10_C21_TTR_Dako,-0.012083393,0.123898834
Plate10_C22_PDIA3 (ERp57)_Enzo,0.03902449,0.020696356
Plate10_C23_MYC_Santa,-0.020200721,0.03010507
Plate10_C24_ILK_Sigma,-0.037963915,0.077460921
Plate10_C3_USF1_Santa,-0.093267676,0.042852513
Plate10_C4_CSRP1_Abcam,-0.020161954,0.11925124
Plate10_C5_MAP3K3_Santa,0.017403168,0.043852721
Plate10_C6_HNRPA2B1_Abnova,-0.012803291,0.019382048
Plate10_C7_MAP3K3_Santa,-0.031319082,0.024250899
Plate10_C8_CSRP1_PTG,-0.015191343,0.018111171
Plate10_C9_MAP3K3_Santa,-0.051444153,0.094204995
Plate10_D10_CRB3 _Santa,-0.03420538,0.094536128
Plate10_D11_IGFBP2_R&D,-0.07984503,0.33972896
Plate10_D14_CRP1 _Santa,-0.045376495,0.059954029
Plate10_D15_S100A11_Epitomics,0.011335736,0.022430304
Plate10_D16_ARP _Santa,-0.01241295,0.068654331
Plate10_D18_TAGLN2 _Santa,-0.025578895,0.118170845
Plate10_D19_LY6D_Abnova,0.00551704,0.048689795
Plate10_D2_HIST1H1E_Upstate,0.002425494,0.154173147
Plate10_D20_TAGLN2_Santa,-0.051607466,0.071689217
Plate10_D21_ALDH1A3_Abgent,0.004360462,0.028146103
Plate10_D22_FETUB _Santa,-0.054659335,0.106720973
Plate10_D3_P4C8_Lampe_LampeLab,0.161564852,0.225527626
Plate10_D4_CA2_Abcam,0.055779085,0.027844985
Plate10_D5_PLA12_Lampe_LampeLab,-0.000836567,0.024072276
Plate10_D6_CRB3 _Santa,-0.046458758,0.067696165
Plate10_D7_S100A11_Abnova,0.095832017,0.037914585
Plate10_D8_CRB3 _Santa,0.009161257,0.064016101
Plate10_D9_A1BG_Hanash_Inhouse,-0.035473669,0.162115632
Plate10_E1_MYC_Santa,-0.128387952,0.121930654
Plate10_E10_ILK_Abcam,-0.05020911,0.102443623
Plate10_E12_Cy3 (not a gene)_Santa,-0.130372978,0.094085231
Plate10_E2_HNRPAB_Genway,-0.043895106,0.043755067
Plate10_E3_MAPK7_Santa,-0.072879877,0.067701124
Plate10_E4_ILK_PIERCE,0.028391415,0.119099926
Plate10_E5_RAB7A_Santa,0.026409129,0.09393247
Plate10_E6_GAR1 (NOLA1)_PTG,0.042443562,0.121199553
Plate10_E8_TXN _Abgent,0.112581189,0.264931395
Plate10_E9_ANXA5_Santa,-0.005552957,0.06798314
Plate10_F1_F7_Sigma,-0.002318069,0.024348666
Plate10_F12_P4D1_Lampe_Lampe lab,-0.133779284,0.093920939
Plate10_F2_MED12_Santa,-0.045422392,0.043150827
Plate10_F3_ILK_Sigma,-0.084081397,0.060346895
Plate10_F4_MED12_Santa,-0.007743943,0.053817975
Plate10_F6_PRKCSH _Santa,-0.08857503,0.118469442
Plate10_F7_VCL_Sigma,-0.150350083,0.186640863
Plate10_F8_PRKCSH  _Santa,0.008322044,0.036471001
Plate10_G1_CTSD_CalBio,-0.221592071,0.344422359
Plate10_G10_PARP1_Sigma,-0.006945287,0.156046945
Plate10_G11_GJA1 (ser255)_Santa,0.012690834,0.048423009
Plate10_G2_RANBP1_ABcam,0.046064404,0.036587249
Plate10_G3_Cx43NT1_LampeLab,-0.101638268,0.03571875
Plate10_G4_PDLIM1_ABnova,0.028316558,0.207575038
Plate10_G6_ORM1_Abnova,0.014089377,0.012917935
Plate10_G7_GJA1(pS373)_LampeLab,0.016513965,0.024847394
Plate10_G8_CTSD_R&D,0.046984941,0.056678538
Plate10_G9_GJA1 (ser262)_Santa,-0.01488615,0.154834532
Plate10_H1_ZYX_Sigma,-0.027828113,0.059386772
Plate10_H11_AHNAK_Abcam,-0.028078861,0.03507384
Plate10_H2_ATF3_Santa,0.002190942,0.041338066
Plate10_H4_Empty_Empty,-0.036779045,0.044761234
Plate10_H6_Empty_Empty,-0.073838831,0.107800147
Plate10_H7_RPLP2_Abgent,0.023430159,0.034573696
Plate10_H8_Empty_Empty,-0.060691802,0.104057757
Plate10_H9_ILK_Abgent,0.04486269,0.035902399
Plate2_A1_PTPN14_R&D,-0.00096661,0.103651858
Plate2_A10_IGFBP1_Abcam,0.060314516,0.0692588
Plate2_A11_RET_R&D,-0.050682071,0.035169585
Plate2_A12_IL18RAP_Abcam,0.039700348,0.248627844
Plate2_A13_STX7_R&D,0.163318594,0.307514179
Plate2_A14_IL6_Abcam,0.018274163,0.076581737
Plate2_A17_GLI2_R&D,0.058730961,0.115986208
Plate2_A18_IRF9_Abcam,0.168534879,0.094722325
Plate2_A19_RTN4RL2_R&D,-0.011057139,0.126519523
Plate2_A20_ITGA1_Abcam,-0.041507147,0.038196497
Plate2_A21_STAT5A_R&D,-0.045765821,0.046629423
Plate2_A22_ITGA5 _Abcam,-0.048736288,0.046023577
Plate2_A23_SFRP1_R&D,0.073895233,0.142133536
Plate2_A24_ITGB3_Abcam,-0.056969676,0.051245636
Plate2_A5_JAK3_R&D,-0.002974448,0.087157793
Plate2_A6_ICAM2_Abcam,-0.091907497,0.173711552
Plate2_A7_RELB_R&D,-0.012710579,0.062415393
Plate2_A8_IFNGR1_Abcam,0.002557737,0.115022595
Plate2_A9_ROBO4_R&D,0.01636137,0.127844228
Plate2_B1_MMP-7_R&D,0.069980188,0.036523573
Plate2_B10_BMP7_AbD,0.070497808,0.055058595
Plate2_B11_COL4A3_Santa,-0.065348096,0.046328927
Plate2_B12_PLAUR_AbD,0.14264594,0.063068984
Plate2_B13_COL5A1_Santa,0.04801614,0.309609997
Plate2_B14_MUC17_AbD,0.044794508,0.050294335
Plate2_B15_COL5A3_Santa,0.074177977,0.102815059
Plate2_B16_KSR1_AbD,-0.007443687,0.118562577
Plate2_B18_KRT7_AbD,0.040915857,0.150448284
Plate2_B19_LAMB1_Santa,0.071015393,0.059665381
Plate2_B20_LILRB3_AbD,-0.021584109,0.046227927
Plate2_B21_CDKN2B_Santa,-0.025176155,0.201494864
Plate2_B22_GP1BA_AbD,-0.065473528,0.068443638
Plate2_B23_CDKN2B_Santa,-0.065335096,0.308657784
Plate2_B24_LRP1_AbD,0.005144547,0.206683719
Plate2_B3_MMP-7_R&D,-0.0038426,0.089535601
Plate2_B4_DNAL4_USBio,0.050265913,0.04529151
Plate2_B5_SPARC/Osteonectin_R&D,-0.19730261,0.211871355
Plate2_B6_RASSF5_USBio,0.053916691,0.03547587
Plate2_B7_SPARC/Osteonectin_R&D,-0.00981737,0.070714552
Plate2_B8_CYCS_AbD,0.042011403,0.025380551
Plate2_B9_SPP1/Osteopontin_R&D,0.063101457,0.032483395
