Protein,Delta,DeltaSquared
Plate10_E6_GAR1 (NOLA1)_PTG,-0.042226601,0.119294388
Plate10_E7_TNFRSF1B_Santa,-0.000233629,0.135053512
Plate10_E8_TXN _Abgent,-0.021171079,0.081251221
Plate10_E9_ANXA5_Santa,0.010807716,0.052500726
Plate10_F1_F7_Sigma,0.075109496,0.029633226
Plate10_F12_P4D1_Lampe_Lampe lab,-0.08392571,0.019839856
Plate10_F2_MED12_Santa,-0.012389342,0.070946617
Plate10_F3_ILK_Sigma,0.047465087,0.057491672
Plate10_F4_MED12_Santa,-0.047566308,0.110843155
Plate10_F6_PRKCSH _Santa,0.038541753,0.077668591
Plate10_F7_VCL_Sigma,0.043159073,0.02205919
Plate10_F8_PRKCSH  _Santa,0.05601702,0.017688522
Plate10_G1_CTSD_CalBio,-0.070904132,0.280192587
Plate10_G10_PARP1_Sigma,-0.030724521,0.01966259
Plate10_G11_GJA1 (ser255)_Santa,0.021961027,0.042057563
Plate10_G2_RANBP1_ABcam,0.048798044,0.038883648
Plate10_G3_Cx43NT1_LampeLab,-0.087087534,0.121772336
Plate10_G4_PDLIM1_ABnova,0.077554524,0.072486408
Plate10_G5_Cx43CT1_LampeLab,0.022282456,0.01583598
Plate10_G6_ORM1_Abnova,-0.029825344,0.007052688
Plate10_G7_GJA1(pS373)_LampeLab,0.048942968,0.143706747
Plate10_G8_CTSD_R&D,0.032266596,0.018442659
Plate10_G9_GJA1 (ser262)_Santa,0.076151555,0.063453543
Plate10_H1_ZYX_Sigma,-0.011803271,0.016027241
Plate10_H11_AHNAK_Abcam,0.008734103,0.0747557
Plate10_H2_ATF3_Santa,0.066763315,0.098135852
Plate10_H4_Empty_Empty,0.080829081,0.05087917
Plate10_H5_PTBP1_Abnova,0.017906806,0.052116424
Plate10_H6_Empty_Empty,-0.015324262,0.109006303
Plate10_H7_RPLP2_Abgent,0.059454472,0.019555789
Plate10_H8_Empty_Empty,-0.003773017,0.065395839
Plate10_H9_ILK_Abgent,0.0500212,0.036458486
Plate2_A1_PTPN14_R&D,0.012287853,0.049914786
Plate2_A10_IGFBP1_Abcam,0.027541346,0.088551033
Plate2_A11_RET_R&D,0.021515461,0.024903554
Plate2_A12_IL18RAP_Abcam,-0.034072499,0.094566104
Plate2_A13_STX7_R&D,0.085189023,0.141356269
Plate2_A17_GLI2_R&D,0.067001813,0.118249707
Plate2_A18_IRF9_Abcam,0.072504243,0.07446969
Plate2_A19_RTN4RL2_R&D,-0.040838721,0.124305053
Plate2_A20_ITGA1_Abcam,-0.042633385,0.048256739
Plate2_A21_STAT5A_R&D,0.069336963,0.043556359
Plate2_A22_ITGA5 _Abcam,-0.034886958,0.029808321
Plate2_A23_SFRP1_R&D,0.05575866,0.099775018
Plate2_A24_ITGB3_Abcam,0.054696388,0.06962406
Plate2_A5_JAK3_R&D,0.035235106,0.025203359
Plate2_A6_ICAM2_Abcam,-0.014688843,0.058108363
Plate2_A7_RELB_R&D,0.068329885,0.031725856
Plate2_A8_IFNGR1_Abcam,-0.011292671,0.095282963
Plate2_A9_ROBO4_R&D,-0.007348692,0.030699549
Plate2_B1_MMP-7_R&D,0.068907171,0.020267539
Plate2_B10_BMP7_AbD,0.064575045,0.033409996
Plate2_B11_COL4A3_Santa,-0.028274607,0.055827157
Plate2_B12_PLAUR_AbD,0.178859855,0.100922034
Plate2_B13_COL5A1_Santa,-0.020542775,0.141523801
Plate2_B14_MUC17_AbD,0.08280121,0.058303315
Plate2_B15_COL5A3_Santa,-0.051080642,0.085541503
Plate2_B16_KSR1_AbD,0.016935109,0.069840148
Plate2_B18_KRT7_AbD,0.101543102,0.156146888
Plate2_B19_LAMB1_Santa,-0.128200371,0.151983412
Plate2_B20_LILRB3_AbD,-0.024091112,0.008166989
Plate2_B21_CDKN2B_Santa,-0.116427228,0.191488341
Plate2_B22_GP1BA_AbD,0.007288518,0.028787177
Plate2_B23_CDKN2B_Santa,-0.28488111,0.212014794
Plate2_B24_LRP1_AbD,0.082469412,0.233761405
Plate2_B3_MMP-7_R&D,0.018061245,0.053505018
Plate2_B4_DNAL4_USBio,0.016606801,0.050810297
Plate2_B5_SPARC/Osteonectin_R&D,0.029145827,0.096626489
Plate2_B6_RASSF5_USBio,-0.002878863,0.017052281
Plate2_B7_SPARC/Osteonectin_R&D,-0.003301465,0.062151994
Plate2_B8_CYCS_AbD,0.051762025,0.028314995
Plate2_B9_SPP1/Osteopontin_R&D,0.052695248,0.015958266
Plate2_C1_WNT9A_R&D,-0.026188107,0.038242314
Plate2_C10_KRT10_Abcam,0.066826327,0.303169513
Plate2_C11_PTP4A3_R&D,0.032284933,0.021798355
Plate2_C12_KRT14_Abcam,-0.013319583,0.051151428
Plate2_C13_TIAM1_R&D,0.114395822,0.072165195
Plate2_C14_L1CAM_Abcam,-0.00993432,0.047907837
Plate2_C15_ADAM23_R&D,-0.033674489,0.066135155
Plate2_C16_LEPR_Abcam,0.056185562,0.02621906
Plate2_C17_STAT4_R&D,0.008022649,0.029056303
Plate2_C18_LGALS7_Abcam,0.090196271,0.051139
Plate2_C19_PPP2CA_R&D,0.039933159,0.064163518
Plate2_C2_ITGB8_Abcam,0.032476752,0.069505822
Plate2_C21_REG3A_R&D,0.087193513,0.199971302
Plate2_C23_THBS4_R&D,-0.017720932,0.054547138
Plate2_C24_LTBP1_Abcam,0.063171895,0.166239102
Plate2_C3_STAT1_R&D,0.085502896,0.066013024
Plate2_C4_ITSN_Abcam,-0.048019888,0.075787899
Plate2_C5_SFRP4_R&D,0.102791952,0.06519884
Plate2_C6_KIT_Abcam,0.091996958,0.019260663
Plate2_C7_SIGLEC5_R&D,0.056425841,0.021336323
