Protein,Delta,DeltaSquared
Plate1_I21_PGK1_Abnova,0.089701803,0.297216705
Plate1_I22_CNN1_Aviva,0.112502676,0.037603665
Plate1_I23_ABCB1_Abnova,-0.078607846,0.129130433
Plate1_I24_EEF1A1_Aviva,0.039331161,0.081918121
Plate1_I4_LYVE1_Aviva,0.04590363,0.049716668
Plate1_I5_NOTCH3_Abnova,0.092864444,0.056115006
Plate1_I6_NRG1_Aviva,-0.067914429,0.035841044
Plate1_I7_NOV_Abnova,0.013648438,0.078518615
Plate1_I8_PODXL_Aviva,0.039558384,0.032683735
Plate1_I9_NTS_Abnova,-0.065228962,0.070259084
Plate1_J10_INSR_Aviva,0.037006188,0.03305909
Plate1_J11_PDK2_Aviva,0.050241423,0.044766715
Plate1_J12_JUN_Aviva,0.071520907,0.030419497
Plate1_J14_E2F1_Aviva,0.056861204,0.027368382
Plate1_J15_HOXC11_Aviva,0.035666807,0.038119324
Plate1_J18_ID2_Aviva,-0.022680261,0.091564875
Plate1_J19_NFKB2_Aviva,0.016734488,0.013371201
Plate1_J2_CDC25C_Aviva,0.072080812,0.053258294
Plate1_J20_TBP_Aviva,-0.011951894,0.015442811
Plate1_J21_NOTCH3_Aviva,0.095580699,0.021717575
Plate1_J22_FZD2 _Aviva,0.079874974,0.093290514
Plate1_J23_WNT1_Aviva,0.095844754,0.035116808
Plate1_J24_SIGLEC6 _Aviva,0.044937391,0.078942498
Plate1_J3_FAS_Aviva,0.063702247,0.042341256
Plate1_J5_CXCR4_Aviva,0.035991885,0.101153504
Plate1_J6_CDC25A_Aviva,0.002583953,0.019716567
Plate1_J7_IRF9_Aviva,0.086734485,0.061771739
Plate1_J8_CCNE2_Aviva,0.079736801,0.068914521
Plate1_J9_TFAM_Aviva,0.054350777,0.024608332
Plate1_K15_RALGDS_Abnova,0.042019963,0.055080666
Plate1_K16_CAP1_Aviva,-0.012800652,0.025952637
Plate1_K17_RARB_Abnova,0.051319781,0.056519581
