Protein,Delta,DeltaSquared
Plate1_I12_YWHAZ_Aviva,0.116009932,0.122806775
Plate1_I13_NEUROG3_Abnova,0.032873612,0.061467919
Plate1_I14_PGK1_Aviva,0.020552307,0.017399532
Plate1_I15_CALML5_Abnova,0.132948401,0.03821824
Plate1_I16_TPI1_Aviva,-0.071184878,0.026090298
Plate1_I17_PF4_Abnova,-0.124083146,0.208442696
Plate1_I18_AK1_Aviva,0.006346163,0.042949786
Plate1_I19_PGAM1_Abnova,-0.066122177,0.130755634
Plate1_I2_WNT6_Aviva,0.02625697,0.055403411
Plate1_I20_P4HB_Aviva,0.03249866,0.026260464
Plate1_I21_PGK1_Abnova,0.102289244,0.159671445
Plate1_I22_CNN1_Aviva,-0.01646428,0.038173255
Plate1_I23_ABCB1_Abnova,0.176025602,0.072720299
Plate1_I24_EEF1A1_Aviva,0.114798507,0.067506851
Plate1_I4_LYVE1_Aviva,0.168673845,0.098333927
Plate1_I5_NOTCH3_Abnova,-0.12847108,0.087973842
Plate1_I6_NRG1_Aviva,-0.067182559,0.022439807
Plate1_I7_NOV_Abnova,-0.045334012,0.096990695
Plate1_I8_PODXL_Aviva,0.09683259,0.095172396
Plate1_I9_NTS_Abnova,-0.007510234,0.014461809
Plate1_J10_INSR_Aviva,0.035173413,0.030013067
Plate1_J11_PDK2_Aviva,-0.118854502,0.053350811
Plate1_J12_JUN_Aviva,0.031984606,0.026155263
Plate1_J14_E2F1_Aviva,0.016825399,0.010299574
Plate1_J15_HOXC11_Aviva,0.087596581,0.029235177
Plate1_J17_IKBKB_Aviva,0.165377654,0.076626427
Plate1_J18_ID2_Aviva,0.046963282,0.207825476
Plate1_J19_NFKB2_Aviva,0.057653074,0.038009086
Plate1_J2_CDC25C_Aviva,-0.009610563,0.040222548
Plate1_J20_TBP_Aviva,0.109103707,0.0374128
Plate1_J21_NOTCH3_Aviva,0.029096488,0.041529441
Plate1_J22_FZD2 _Aviva,0.084416686,0.120219212
Plate1_J23_WNT1_Aviva,-0.09724282,0.127523895
Plate1_J24_SIGLEC6 _Aviva,0.24445201,0.086378165
Plate1_J3_FAS_Aviva,-0.053292262,0.024274528
Plate1_J5_CXCR4_Aviva,0.092229631,0.154051641
Plate1_J6_CDC25A_Aviva,-0.008595562,0.013189758
Plate1_J7_IRF9_Aviva,0.04369734,0.047856009
Plate1_J8_CCNE2_Aviva,0.15771267,0.042849273
Plate1_J9_TFAM_Aviva,0.096394229,0.072834883
Plate1_K13_PTK6_Abnova,-0.040209691,0.027096316
Plate1_K15_RALGDS_Abnova,-0.023936849,0.046517548
Plate1_K16_CAP1_Aviva,0.050257436,0.03392957
Plate1_K17_RARB_Abnova,-0.072055028,0.021629467
Plate1_K18_DSTN_Aviva,0.003472058,0.025974529
Plate1_K19_RBL1_Abnova,-0.122919561,0.289732068
Plate1_K21_RGS10_Abnova,0.045785854,0.072308199
Plate1_K24_PRDX1_Aviva,0.032037145,0.030126524
Plate1_K3_PLA2G4A_Abnova,-0.045459578,0.017948178
Plate1_K4_ENO3_Aviva,-0.02329107,0.002029629
Plate1_K6_PRDX6_Aviva,0.02353329,0.035573193
Plate1_K7_PRKCA_Abnova,-0.09110438,0.097908013
Plate1_K9_PRKCSH_Abnova,-0.013330886,0.02958121
Plate1_L1_ATOH1_Aviva,-0.042491756,0.009150803
Plate1_L10_ACAT1_Aviva,-0.02378853,0.038903059
Plate1_L11_ASGR2_Aviva,-0.093900859,0.045256052
Plate1_L12_AMBP_Aviva,0.031816885,0.054633902
Plate1_L13_RGS12_Aviva,-0.032475796,0.067501029
Plate1_L14_CORO1A_Aviva,-0.039745322,0.043619385
Plate1_L15_MANSC1_Aviva,-0.05165769,0.019219985
Plate1_L16_GOT2_Aviva,0.06387809,0.010038314
Plate1_L17_ENO1_Aviva,0.014045932,0.017368391
Plate1_L18_HNRNPU_Aviva,-0.001137691,0.023446687
Plate1_L19_ZYX_Aviva,-0.018283435,0.01137598
Plate1_L2_G6PD_Aviva,-0.026057282,0.033262425
Plate1_L20_LOXL1_Aviva,0.016950789,0.00830753
Plate1_L21_CSRP1_Aviva,0.083705616,0.02799759
Plate1_L22_MDH2_Aviva,-0.049512011,0.030338598
Plate1_L23_TCF7_Aviva,0.078774918,0.061008721
Plate1_L24_PDLIM5_Aviva,0.031717315,0.019963065
Plate1_L3_LEF1_Aviva,-0.035233188,0.022243115
Plate1_L4_GAPDH_Aviva,0.050275139,0.01640423
Plate1_L5_NCOR2_Aviva,0.042658903,0.024059169
Plate1_L6_KLK10_Aviva,-0.024381132,0.019052397
Plate1_L7_PTK2B_Aviva,-0.045117301,0.023763826
Plate1_L8_EEA1_Aviva,-0.015701513,0.020272059
Plate1_L9_PPARA_Aviva,0.060618683,0.085916288
Plate1_M10_C1GALT1_Aviva,0.119979184,0.087657831
Plate1_M11_TIMP1_Abnova,-0.147012805,0.065340996
Plate1_M12_GAL3ST3_Aviva,-0.118660397,0.075527704
Plate1_M13_TIMP2_Abnova,0.018135081,0.071595706
Plate1_M14_SPRY1_Aviva,0.067081837,0.03965743
Plate1_M17_PHLDA2_Abnova,-0.045197505,0.128399418
Plate1_M18_PYGO1_Aviva,-0.069888253,0.018634694
Plate1_M19_TTR_Abnova,-0.013800143,0.080949969
Plate1_M20_PYGO2_Aviva,0.025586116,0.09149107
Plate1_M21_VCL_Abnova,-0.092283983,0.071761754
Plate1_M22_ABCB1_Aviva,-0.01420936,0.019388243
Plate1_M23_VCP_Abnova,-0.102351123,0.053965563
Plate1_M24_PPIA_Aviva,0.186224279,0.09367728
Plate1_M4_GALNT10_Aviva,0.142818081,0.073842847
Plate1_M5_ST13_Abnova,0.035004436,0.055871587
Plate1_M8_DLL4_Aviva,-0.130805984,0.031595661
Plate1_M9_TFF3_Abnova,0.048042809,0.124460788
Plate1_N10_CDH5_LSBio,0.030021768,0.007895438
Plate1_N11_RARG_Aviva,0.130380569,0.069556101
Plate1_N12_COL18A1_LSBio,0.129799454,0.042957102
Plate1_N14_CTGF_LSBio,0.058912989,0.065035421
Plate1_N15_TANK_Aviva,0.102033559,0.039370355
Plate1_N17_MECP2_Aviva,-0.038796517,0.049493552
Plate1_N18_HLA-A/HLA-B/HLA-C_LSBio,-0.106096189,0.120416006
Plate1_N19_XBP1_Aviva,-0.044142226,0.013102559
Plate1_N2_SCP2_Aviva,0.068314428,0.022493079
Plate1_N20_SERPINB5_LSBio,-0.080573171,0.0177996
Plate1_N21_MEF2A_Aviva,0.068328925,0.060855482
Plate1_N22_THBS1_LSBio,0.00896351,0.054487936
Plate1_N23_NOTCH1_Aviva,-0.043725675,0.159909929
Plate1_N24_THBS1_LSBio,-0.210048778,0.150767729
Plate1_N3_MTA2_Aviva,0.052849498,0.035230479
Plate1_N5_MTA2_Aviva,0.032081357,0.122032751
Plate1_N6_S100A9_Aviva,0.151970897,0.151731947
Plate1_N7_MCM2_Aviva,0.095266767,0.055583867
Plate1_N8_BCL3_LSBio,0.085675816,0.015022262
Plate1_N9_WT1_Aviva,0.108766874,0.099409376
Plate1_O1_VWF_Abnova,0.045298296,0.06103231
Plate1_O11_MAPKAPK3_Abnova,0.017657321,0.027750008
Plate1_O12_CNN2_Aviva,0.109890492,0.028764702
Plate1_O13_ARMET_Abnova,-0.03348747,0.007542486
Plate1_O15_FZD3_Abnova,0.037498449,0.028377068
Plate1_O16_CTTN_Aviva,0.088377842,0.012220572
Plate1_O17_EIF3A_Abnova,-0.125937172,0.037828479
Plate1_O18_FSTL1_Aviva,0.073612916,0.025267369
Plate1_O19_SNX3_Abnova,0.045731137,0.03545355
Plate1_O21_CRADD_Abnova,0.106907584,0.048131133
Plate1_O22_COL4A3BP_Aviva,-0.071085318,0.006037617
Plate1_O23_TNFSF9_Abnova,-0.016782754,0.027053521
Plate1_O24_LRG1_Aviva,0.088595689,0.029251388
Plate1_O3_ZIC3_Abnova,0.079463854,0.065469503
Plate1_O4_CSNK1A1_Aviva,0.038301114,0.038478807
Plate1_O5_PXDN_Abnova,-0.131080264,0.034593822
Plate1_O6_CPN1_Aviva,0.008922208,0.016587644
Plate1_O7_FZD5_Abnova,0.076020069,0.034590783
Plate1_O9_MAPKAPK3_Abnova,0.309307675,0.196215873
Plate1_P1_METTL3_Aviva,-0.007166248,0.07199001
Plate1_P10_DGCR6_ProSci,0.012991723,0.040712265
Plate1_P11_KHDRBS3_Aviva,0.166716413,0.074406712
Plate1_P12_NDUFA10_ProSci,0.023819118,0.09240168
Plate1_P13_EIF4H_Aviva,-0.111983154,0.082551459
Plate1_P14_Empty well_Empty,-0.094824173,0.070056517
Plate1_P15_WNT10B_Aviva,-0.024742359,0.037998131
Plate1_P16_ERBB2_R&D,0.031277035,0.035907759
